customer_city,customer_state,lat,lon
cuiaba,MT,-15.601,-56.0974
canoas,RS,-29.9128,-51.1857
cubatao,SP,-23.8911,-46.424
campo limpo paulista,SP,-23.2078,-46.7889
cambe,PR,-23.2766,-51.2798
itaquaquecetuba,SP,-23.4835,-46.3457
sao caetano do sul,SP,-23.6229,-46.5548
sao goncalo do rio abaixo,MG,-19.8221,-43.366
rolandia,PR,-23.3101,-51.3659
tres coracoes,MG,-21.6921,-45.2511
cacapava do sul,RS,-30.5144,-53.4827
sao joao nepomuceno,MG,-21.5381,-43.0069
leme,SP,-22.1809,-47.3841
araras,SP,-22.3572,-47.3842
cortes,PE,-8.47443,-35.5468
brusque,SC,-27.0977,-48.9107
montenegro,RS,-29.6824,-51.4679
itaberai,GO,-16.0206,-49.806
santa rosa de viterbo,SP,-21.4776,-47.3622
agua fria de goias,GO,-14.9778,-47.7823
marau,RS,-28.4498,-52.1986
marau,RS,-14.1035,-39.0137
curvelo,MG,-18.7527,-44.4303
juiz de fora,MG,-21.7595,-43.3398
mogi-guacu,SP,,
guaratingueta,SP,-22.8075,-45.1938
paranagua,PR,-25.5161,-48.5225
lins,SP,-21.6718,-49.7526
campo bom,RS,-29.6747,-51.0606
sertaozinho,SP,-21.1316,-47.9875
sertaozinho,SP,-6.75127,-35.4372
tres lagoas,MS,-20.7849,-51.7007
jau,SP,-22.2936,-48.5592
campos de julio,MT,-13.7242,-59.2858
saquarema,RJ,-22.9292,-42.5099
artur nogueira,SP,-22.5727,-47.1727
uaua,BA,-9.83325,-39.4794
jandira,SP,-23.5275,-46.9023
concordia,SC,-27.2335,-52.026
nova friburgo,RJ,-22.2932,-42.5377
sorocaba,SP,-23.4969,-47.4451
ponte nova,MG,-20.4111,-42.8978
araquari,SC,-26.3754,-48.7188
muriae,MG,-21.13,-42.3693
nova lima,MG,-19.9758,-43.8509
inhumas,GO,-16.3611,-49.5001
italva,RJ,-21.4296,-41.7014
tres rios,RJ,-22.1165,-43.2185
santa maria,RS,-29.6868,-53.8149
santa maria,RS,-5.83802,-35.6914
itagiba,BA,-14.2782,-39.8449
paracatu,MG,-17.2252,-46.8711
xaxim,SC,-26.9596,-52.5374
laranjeiras do sul,PR,-25.4077,-52.4109
itapiuna,CE,-4.55516,-38.9281
formosa,GO,-15.54,-47.337
ivoti,RS,-29.5995,-51.1533
juazeiro,BA,-9.41622,-40.5033
ponta grossa,PR,-25.0916,-50.1668
campina grande,PB,-7.22196,-35.8731
maua,SP,-23.6677,-46.4613
salgueiro,PE,-8.07373,-39.1247
lorena,SP,-22.7334,-45.1197
toledo,PR,-22.7421,-46.3728
toledo,PR,-24.7246,-53.7412
sao pedro da aldeia,RJ,-22.8429,-42.1026
vianopolis,GO,-16.7405,-48.5159
arapiraca,AL,-9.75487,-36.6615
porto seguro,BA,-16.4435,-39.0643
ariquemes,RO,-9.90571,-63.0325
presidente getulio,SC,-27.0474,-49.6246
rio negro,PR,-19.447,-54.9859
rio negro,PR,-26.095,-49.7982
ribeirao pires,SP,-23.7067,-46.4058
sao jose da coroa grande,PE,-8.88937,-35.1515
agua doce do norte,ES,-18.5482,-40.9854
anapolis,GO,-16.3281,-48.953
guararapes,SP,-21.2544,-50.6453
farroupilha,RS,-29.2227,-51.3419
almenara,MG,-16.1785,-40.6942
rio das ostras,RJ,-22.5174,-41.9475
gravatai,RS,-29.9413,-50.9869
brumado,BA,-14.2021,-41.6696
marilia,SP,-22.2171,-49.9501
itabira,MG,-19.6239,-43.2312
claudia,MT,-11.5075,-54.8835
para de minas,MG,-19.8534,-44.6114
miguelopolis,SP,-20.1796,-48.031
terra roxa,SP,-24.1575,-54.0988
terra roxa,SP,-20.787,-48.3314
araguari,MG,-18.6456,-48.1934
lages,SC,-27.815,-50.3259
embu das artes,SP,-23.6437,-46.8579
limeira,SP,-22.566,-47.397
taubate,SP,-23.0104,-45.5593
santa fe do sul,SP,-20.2083,-50.932
caieiras,SP,-23.3607,-46.7397
carangola,MG,-20.7343,-42.0313
chapada do norte,MG,-17.0881,-42.5392
loanda,PR,-22.9232,-53.1362
passa tres,RJ,,
aracoiaba da serra,SP,-23.5029,-47.6166
itaborai,RJ,-22.7565,-42.8639
vitoria,ES,-20.3155,-40.3128
sao bento do sul,SC,-26.2495,-49.3831
indaiatuba,SP,-23.0816,-47.2101
boituva,SP,-23.2855,-47.6786
teresopolis,RJ,-22.4165,-42.9752
pinhalzinho,SP,-22.7811,-46.5897
pinhalzinho,SP,-26.8495,-52.9913
petrolina,PE,-9.38866,-40.5027
natal,RN,-5.79357,-35.1986
barreiras,BA,-12.1439,-44.9968
januaria,MG,-15.4802,-44.3639
ipiabas,RJ,,
firminopolis,GO,-16.5778,-50.304
joinville,SC,-26.3045,-48.8487
mococa,SP,-21.4647,-47.0024
vitoria,PR,-20.3155,-40.3128
valenca,RJ,-13.3669,-39.073
valenca,RJ,-22.2445,-43.7129
sao miguel do oeste,SC,-26.7242,-53.5163
jales,SP,-20.2672,-50.5494
rio formoso,PE,-8.6592,-35.1532
angra dos reis,RJ,-23.0011,-44.3196
alfredo chaves,ES,-20.6396,-40.7543
itapetinga,BA,-15.2475,-40.2482
gurupi,TO,-11.7279,-49.068
nucleo residencial pilar,BA,,
coromandel,MG,-18.4734,-47.1933
charqueada,SP,-22.5096,-47.7755
itau de minas,MG,-20.7375,-46.7525
ibiruba,RS,-28.6302,-53.0961
bertioga,SP,-23.8486,-46.1396
ipiau,BA,-14.1226,-39.7353
matozinhos,MG,-19.5543,-44.0868
teresina,PI,-5.09194,-42.8034
entre rios,BA,-11.9392,-38.0871
entre rios,BA,-26.7225,-52.5585
juina,MT,-11.3728,-58.7483
mairipora,SP,-23.3171,-46.5897
marechal candido rondon,PR,-24.557,-54.0571
avare,SP,-23.1067,-48.9251
icem,SP,-20.3391,-49.1915
sao sebastiao,SP,-23.7951,-45.4143
sao sebastiao,SP,-9.93043,-36.559
serra,ES,-20.121,-40.3074
mirassol,SP,-20.8169,-49.5206
taperuaba,CE,,
alfenas,MG,-21.4256,-45.9477
leopoldina,MG,-21.5296,-42.6421
sao joao da boa vista,SP,-21.9707,-46.7944
parnamirim,RN,-5.91116,-35.271
parnamirim,RN,-8.08729,-39.5795
teixeira de freitas,BA,-17.5399,-39.74
joao pessoa,PB,-7.11509,-34.8641
chacara,MG,-21.6733,-43.215
rio novo do sul,ES,-20.8556,-40.9388
guapore,RS,-28.8399,-51.8895
rio branco,AC,-15.2483,-58.1259
rio branco,AC,-9.97499,-67.8243
ferraz de vasconcelos,SP,-23.5411,-46.371
petrolandia,SC,-9.06863,-38.3027
petrolandia,SC,-27.5346,-49.6937
araruna,PR,-23.9315,-52.5021
araruna,PR,-6.54848,-35.7498
gravata,PE,-8.21118,-35.5675
alegre,ES,-20.758,-41.5382
londrina,PR,-23.304,-51.1691
senhor do bonfim,BA,-10.4594,-40.1865
santana de parnaiba,SP,-23.4439,-46.9178
piratininga,SP,-22.4142,-49.1339
monte carmelo,MG,-18.7302,-47.4912
ipiranga,PR,-25.0238,-50.5794
jacarei,SP,-23.2983,-45.9658
picos,PI,-7.07721,-41.467
una,BA,-15.2791,-39.0765
taguai,SP,-23.4452,-49.4024
peabiru,PR,-23.914,-52.3431
conquista,MG,-19.9312,-47.5492
bicas,MG,-21.7232,-43.056
forquilha,CE,-3.79945,-40.2634
guaicara,SP,-21.6195,-49.8013
santa vitoria,MG,-18.8414,-50.1208
adamantina,SP,-21.682,-51.0737
rio claro,SP,-22.72,-44.1419
rio claro,SP,-22.3984,-47.5546
sao jose de uba,RJ,-21.3661,-41.9511
sorriso,MT,-12.5425,-55.7211
aracaju,SE,-10.9091,-37.0677
conselheiro lafaiete,MG,-20.6634,-43.7846
taguatinga,TO,-12.4026,-46.437
tiangua,CE,-3.72965,-40.9923
paranaiba,MS,-19.6746,-51.1909
david canabarro,RS,-28.3849,-51.8482
itarare,SP,-24.1085,-49.3352
cajueiro,AL,-9.3994,-36.1559
cruzeiro,SP,-22.5728,-44.969
santa cruz do sul,RS,-29.722,-52.4343
presidente epitacio,SP,-21.7651,-52.1111
castanhal,PA,-1.29797,-47.9167
cariacica,ES,-20.2632,-40.4165
bom jesus dos perdoes,SP,-23.1356,-46.4675
urucurituba,AM,-3.12841,-58.1496
olinda,PE,-8.01017,-34.8545
sao jose do rio pardo,SP,-21.5953,-46.8873
guapimirim,RJ,-22.5347,-42.9895
vargem grande paulista,SP,-23.5993,-47.022
chapeco,SC,-27.1004,-52.6152
videira,SC,-27.0086,-51.1543
canapi,AL,-9.11932,-37.5967
pontal do parana,PR,-25.6735,-48.5111
bento goncalves,RS,-29.1662,-51.5165
caceres,MT,-16.0764,-57.6818
bituruna,PR,-26.1607,-51.5518
sao bento do sapucai,SP,-22.6837,-45.7287
mage,RJ,-22.6632,-43.0315
forquilhinha,SC,-28.7454,-49.4785
itaberaba,BA,-12.5242,-40.3059
gramado,RS,-29.3734,-50.8762
guacui,ES,-20.7668,-41.6734
pato branco,PR,-26.2292,-52.6706
itanhem,BA,-17.1642,-40.3321
palmas,TO,-26.4839,-51.9888
palmas,TO,-10.24,-48.3558
bage,RS,-31.3297,-54.0999
francisco morato,SP,-23.2792,-46.7448
cosmopolis,SP,-22.6419,-47.1926
carmo,RJ,-21.931,-42.6046
armacao dos buzios,RJ,-22.7528,-41.8846
santa maria da vitoria,BA,-13.3859,-44.2011
pedro leopoldo,MG,-19.6308,-44.0383
tres marias,MG,-18.2048,-45.2473
cascavel,CE,-24.9573,-53.459
cascavel,CE,-4.12967,-38.2412
santo antonio de padua,RJ,-21.541,-42.1832
porto feliz,SP,-23.2093,-47.5251
gaspar,SC,-26.9336,-48.9534
palhoca,SC,-27.6455,-48.6697
pouso alegre,MG,-22.2266,-45.9389
guaiuba,CE,-4.04057,-38.6404
fraiburgo,SC,-27.0233,-50.92
aurea,RS,-27.6936,-52.0505
botucatu,SP,-22.8837,-48.4437
corumba,MS,-19.0077,-57.651
cajamar,SP,-23.355,-46.8781
queimados,RJ,-22.7102,-43.5518
sao jorge do ivai,PR,-23.4336,-52.2929
nova laranjeiras,PR,-25.3054,-52.5447
guaxupe,MG,-21.305,-46.7081
osvaldo cruz,SP,-21.7968,-50.8793
ivora,RS,-29.5232,-53.5842
anaurilandia,MS,-22.1852,-52.7191
caraguatatuba,SP,-23.6125,-45.4125
regeneracao,PI,-6.23115,-42.6842
bilac,SP,-21.404,-50.4746
faxinal,PR,-24.0077,-51.3227
pedro velho,RN,-6.4356,-35.2195
uberaba,MG,-19.7472,-47.9381
viamao,RS,-30.0819,-51.0194
cachoeira de minas,MG,-22.3511,-45.7809
coelho neto,MA,-4.25245,-43.0108
itajobi,SP,-21.3123,-49.0629
carmo do rio claro,MG,-20.9736,-46.1149
marica,RJ,-22.9354,-42.8246
campo novo do parecis,MT,-13.6587,-57.8907
boa vista,RR,2.82384,-60.6753
boa vista,RR,-7.26365,-36.2357
valenca,BA,-13.3669,-39.073
valenca,BA,-22.2445,-43.7129
ipameri,GO,-17.7215,-48.1581
carlos barbosa,RS,-29.2969,-51.5028
anicuns,GO,-16.4642,-49.9617
rio bananal,ES,-19.2719,-40.3366
lavras da mangabeira,CE,-6.7448,-38.9706
balsamo,SP,-20.7348,-49.5865
guariba,SP,-21.3594,-48.2316
sao vendelino,RS,-29.3729,-51.3675
campo mourao,PR,-24.0463,-52.378
aracati,CE,-4.55826,-37.7679
santo antonio do descoberto,GO,-15.9412,-48.2578
santo amaro da imperatriz,SC,-27.6852,-48.7813
betim,MG,-19.9668,-44.2008
vicosa,MG,-5.98253,-37.9462
vicosa,MG,-9.36763,-36.2431
vicosa,MG,-20.7559,-42.8742
dom eliseu,PA,-4.19944,-47.8245
campo largo,PR,-25.4525,-49.529
santa rosa de lima,SC,-28.0331,-49.133
santa rosa de lima,SC,-10.6434,-37.1931
quissama,RJ,-22.1031,-41.4693
mirandopolis,SP,-21.1313,-51.1035
itapevi,SP,-23.5488,-46.9327
francisco beltrao,PR,-26.0817,-53.0535
dias d'avila,BA,-12.6187,-38.2926
novo horizonte,SP,-26.4442,-52.8281
novo horizonte,SP,-21.4651,-49.2234
novo horizonte,SP,-12.8083,-42.1682
poa,SP,-23.5333,-46.3473
querencia,MT,-12.6093,-52.1821
campo grande,MS,-9.95542,-36.7926
campo grande,MS,-20.4486,-54.6295
pedreira,SP,-22.7413,-46.8948
pariquera-acu,SP,-24.7147,-47.8742
itabaianinha,SE,-11.2693,-37.7875
pitangui,MG,-19.6741,-44.8964
araruama,RJ,-22.8697,-42.3326
campo formoso,BA,-10.5105,-40.32
guanambi,BA,-14.2231,-42.7799
itapolis,SP,-21.5942,-48.8149
pederneiras,SP,-22.3511,-48.7781
itabirito,MG,-20.2501,-43.8038
itaipava,ES,,
arroio do sal,RS,-29.5439,-49.8895
glaura,MG,,
lagoa vermelha,RS,-28.2093,-51.5248
mantena,MG,-18.7761,-40.9874
peruibe,SP,-24.312,-47.0012
tubarao,SC,-28.4713,-49.0144
bonfim,MG,3.36161,-59.8333
bonfim,MG,-20.3302,-44.2366
alvorada,RS,-12.4785,-49.1249
alvorada,RS,-29.9914,-51.0809
patrocinio,MG,-18.9379,-46.9934
mineiros,GO,-17.5654,-52.5537
itabuna,BA,-14.7876,-39.2781
tijucas,SC,-27.2354,-48.6322
santo antonio de jesus,BA,-12.9614,-39.2584
canarana,MT,-11.6858,-41.7677
canarana,MT,-13.5515,-52.2705
itapecerica da serra,SP,-23.7161,-46.8572
nova prata do iguacu,PR,-25.6309,-53.3469
treze tilias,SC,-27.0026,-51.4084
anchieta,ES,-26.5382,-53.3319
anchieta,ES,-20.7955,-40.6425
quatigua,PR,-23.5671,-49.916
iturama,MG,-19.7276,-50.1966
palmas,PR,-26.4839,-51.9888
palmas,PR,-10.24,-48.3558
tres de maio,RS,-27.78,-54.2357
santa rita do passa quatro,SP,-21.7083,-47.478
porto esperidiao,MT,-15.857,-58.4619
bonfim paulista,SP,,
cajuru,SP,-21.2749,-47.303
cacador,SC,-26.7757,-51.012
paragominas,PA,-3.00212,-47.3527
boa esperanca do sul,SP,-21.9918,-48.3906
tres pontas,MG,-21.3694,-45.5109
juazeiro do norte,CE,-7.19621,-39.3076
bambui,MG,-20.0166,-45.9754
comendador levy gasparian,RJ,-22.0404,-43.214
sao miguel do aleixo,SE,-10.3847,-37.3836
palmeira dos indios,AL,-9.40568,-36.6328
cerquilho,SP,-23.1665,-47.7459
saudade do iguacu,PR,-25.6917,-52.6184
ipaussu,SP,-23.0575,-49.6279
alto paraiso de goias,GO,-14.1305,-47.51
santa isabel,SP,-23.3172,-46.2237
santa isabel,SP,-15.2958,-49.4259
quirinopolis,GO,-18.4472,-50.4547
caruaru,PE,-8.28455,-35.9699
casimiro de abreu,RJ,-22.4812,-42.2066
chavantes,SP,-23.0366,-49.7096
ecoporanga,ES,-18.3702,-40.836
cachoeira paulista,SP,-22.6665,-45.0154
rio verde,GO,-17.7923,-50.9192
maracanau,CE,-3.86699,-38.6259
canoinhas,SC,-26.1766,-50.395
ituverava,SP,-20.3355,-47.7902
buriti dos lopes,PI,-3.18259,-41.8695
rio do antonio,BA,-14.4071,-42.0721
guaranta,SP,-21.8942,-49.5914
santa luzia,MG,-4.06873,-45.69
santa luzia,MG,-15.4342,-39.3287
santa luzia,MG,-19.7548,-43.8497
santa luzia,MG,-6.86092,-36.9178
tucurui,PA,-3.7657,-49.6773
paranavai,PR,-23.0816,-52.4617
pinhais,PR,-25.4429,-49.1927
governador valadares,MG,-18.8545,-41.9555
trajano de moraes,RJ,-22.0638,-42.0643
caete,MG,-19.8826,-43.6704
abaetetuba,PA,-1.72183,-48.8788
lavras,MG,-21.248,-45.0009
coronel joao sa,BA,-10.2847,-37.9198
divino,MG,-20.6134,-42.1438
macaubas,BA,-13.0186,-42.6945
lucelia,SP,-21.7182,-51.0215
brejo da madre de deus,PE,-8.14933,-36.3741
carai,MG,-17.1862,-41.7004
corbelia,PR,-24.7971,-53.3006
varginha,MG,-21.5556,-45.4364
ouro preto,MG,-20.3796,-43.512
prado,BA,-17.3364,-39.2227
colniza,MT,-9.46121,-59.2252
piuma,ES,-20.8334,-40.7268
rancharia,SP,-22.2269,-50.893
barretos,SP,-20.5531,-48.5698
eunapolis,BA,-16.3715,-39.5821
floresta,PE,-23.6031,-52.0807
floresta,PE,-8.60307,-38.5687
sao jose do norte,RS,-32.0151,-52.0331
rio bonito,RJ,-22.7181,-42.6276
vargem bonita,SC,-20.3333,-46.3688
vargem bonita,SC,-27.0055,-51.7402
monte mor,SP,-22.945,-47.3122
valente,BA,-11.4062,-39.457
balsas,MA,-7.53214,-46.0372
nhandeara,SP,-20.6945,-50.0436
lauro de freitas,BA,-12.8978,-38.321
osorio,RS,-29.8881,-50.2667
machado,MG,-21.6778,-45.9219
sao leopoldo,RS,-29.7545,-51.1498
soledade,PB,-7.05829,-36.3668
soledade,PB,-28.8306,-52.5131
assis,SP,-22.66,-50.4183
guarapari,ES,-20.6772,-40.5093
santo antonio do caiua,PR,-22.7351,-52.344
esteio,RS,-29.852,-51.1841
cambuci,RJ,-21.5691,-41.9187
campina grande do sul,PR,-25.3044,-49.0551
baixo guandu,ES,-19.5213,-41.0109
fernao,SP,-22.3607,-49.5187
ibitinga,SP,-21.7562,-48.8319
santa cruz das palmeiras,SP,-21.8235,-47.248
vila muriqui,RJ,,
sao mateus,ES,-18.7214,-39.8579
piracuruca,PI,-3.93335,-41.7088
cordeiro,RJ,-22.0267,-42.3648
cachoeira do sul,RS,-30.033,-52.8928
barra do pirai,RJ,-22.4715,-43.8269
castro,PR,-24.7891,-50.0108
ico,CE,-6.39627,-38.8554
sete lagoas,MG,-19.4569,-44.2413
itumbiara,GO,-18.4093,-49.2158
aluminio,SP,-23.5306,-47.2546
jatai,GO,-17.8784,-51.7204
frederico westphalen,RS,-27.3586,-53.3958
goioere,PR,-24.1835,-53.0248
sao jose da tapera,AL,-9.55768,-37.3831
porto uniao,SC,-26.2451,-51.0759
cocalinho,MT,-14.3903,-51.0001
curitibanos,SC,-27.2824,-50.5816
campos novos,SC,-27.4002,-51.2276
ubatuba,SP,-23.4332,-45.0834
monte santo de minas,MG,-21.1873,-46.9753
ribeirao das neves,MG,-19.7621,-44.0844
sao simao,SP,-21.4732,-47.5518
sao simao,SP,-18.996,-50.547
urutai,GO,-17.4651,-48.2015
itaobim,MG,-16.5571,-41.5017
liberdade,MG,-22.0275,-44.3208
arcos,MG,-20.2863,-45.5373
ribeirao,PE,-8.50957,-35.3698
santa ines,MA,-13.2793,-39.814
santa ines,MA,-22.6376,-51.9024
santa ines,MA,-7.621,-38.554
santa ines,MA,-3.65112,-45.3774
patos de minas,MG,-18.5699,-46.5013
penapolis,SP,-21.4148,-50.0769
eusebio,CE,-3.8925,-38.4559
cordeiros,BA,-15.0356,-41.9308
victor graeff,RS,-28.5632,-52.7495
santa rita do araguaia,GO,-17.3269,-53.2012
poxoreu,MT,-15.8299,-54.4208
ananas,TO,-6.36437,-48.0735
conceicao dos ouros,MG,-22.4078,-45.7996
alagoinhas,BA,-12.1335,-38.4208
sao joao da barra,RJ,-21.638,-41.0446
